epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,207.577,1.53519,1.42424,1.21871,0.75777,0.65799,0.74165,0.41278,1.4999,1.24679,1.21167,0.000332,0.000332,0.067132
2,405.688,1.44983,1.04429,1.19407,0.86072,0.73147,0.82905,0.48074,1.449,1.069,1.19698,0.000664683,0.000664683,0.0341314
3,604.449,1.40861,0.95902,1.16952,0.87622,0.76802,0.86557,0.52122,1.38151,0.87119,1.16869,0.000994769,0.000994769,0.0011281
4,800.088,1.39855,0.91911,1.1625,0.86797,0.80629,0.8836,0.53004,1.37478,0.82083,1.15753,0.000991232,0.000991232,0.000991232
5,1003.63,1.38185,0.8818,1.16289,0.88349,0.81525,0.88165,0.53844,1.36603,0.8216,1.15204,0.000984449,0.000984449,0.000984449
6,1195.11,1.36158,0.84535,1.1508,0.89353,0.82274,0.90136,0.53922,1.38591,0.77146,1.17048,0.000975773,0.000975773,0.000975773
7,1389.96,1.35427,0.82428,1.14031,0.8818,0.82035,0.89617,0.55256,1.33494,0.73197,1.13199,0.000965239,0.000965239,0.000965239
8,1585.09,1.34837,0.81028,1.13839,0.87187,0.82509,0.89241,0.54427,1.35837,0.7625,1.14417,0.000952889,0.000952889,0.000952889
9,1780.6,1.33279,0.78995,1.14068,0.91354,0.81038,0.89356,0.55599,1.3361,0.721,1.13673,0.000938772,0.000938772,0.000938772
10,1978.44,1.33042,0.78514,1.13292,0.90618,0.83494,0.91278,0.55754,1.34,0.70902,1.14723,0.000922942,0.000922942,0.000922942
11,2179.06,1.31631,0.76128,1.12557,0.90485,0.85096,0.91394,0.5673,1.33319,0.7066,1.14132,0.000905463,0.000905463,0.000905463
12,2381.07,1.30463,0.75406,1.12482,0.91232,0.84511,0.91629,0.57994,1.29597,0.67862,1.12412,0.000886404,0.000886404,0.000886404
13,2581.8,1.30319,0.75488,1.11496,0.89973,0.83181,0.90535,0.54956,1.34065,0.73166,1.14062,0.000865839,0.000865839,0.000865839
14,2783.62,1.29277,0.73165,1.11376,0.89799,0.85371,0.91839,0.57821,1.30759,0.65766,1.13116,0.000843851,0.000843851,0.000843851
15,2984.26,1.29762,0.72859,1.11566,0.90563,0.83491,0.91086,0.5759,1.29821,0.6699,1.12529,0.000820525,0.000820525,0.000820525
16,3186.97,1.2902,0.72443,1.1093,0.91002,0.85445,0.91817,0.58125,1.29138,0.66364,1.11642,0.000795954,0.000795954,0.000795954
17,3462.55,1.28223,0.71062,1.10451,0.91604,0.84837,0.91949,0.5782,1.31364,0.64874,1.12882,0.000770234,0.000770234,0.000770234
18,3720.89,1.26967,0.69428,1.09733,0.91203,0.85537,0.92587,0.58466,1.29509,0.63948,1.11798,0.000743468,0.000743468,0.000743468
19,3957.55,1.27107,0.69485,1.10586,0.92091,0.87344,0.93162,0.59301,1.28443,0.61528,1.11055,0.000715761,0.000715761,0.000715761
20,4179.53,1.27688,0.68783,1.10181,0.91955,0.85272,0.91882,0.58564,1.29425,0.63552,1.11444,0.000687222,0.000687222,0.000687222
21,4407.66,1.25149,0.67818,1.09173,0.90441,0.86995,0.92643,0.59717,1.27416,0.61265,1.11307,0.000657963,0.000657963,0.000657963
22,4641.7,1.2543,0.67379,1.09651,0.92655,0.87057,0.93196,0.58273,1.30983,0.61836,1.13444,0.000628101,0.000628101,0.000628101
23,4890.07,1.24901,0.66292,1.08953,0.91786,0.87347,0.93174,0.59916,1.26656,0.58677,1.10821,0.000597754,0.000597754,0.000597754
24,5127.02,1.2469,0.65879,1.08421,0.90786,0.87641,0.93056,0.59564,1.2736,0.59674,1.10826,0.00056704,0.00056704,0.00056704
25,5368.99,1.23195,0.65238,1.0854,0.91341,0.87263,0.93402,0.58975,1.27942,0.6033,1.11593,0.000536081,0.000536081,0.000536081
26,5611.55,1.22715,0.64848,1.07927,0.9345,0.86617,0.93762,0.60258,1.25937,0.58428,1.09728,0.000505,0.000505,0.000505
27,5860.55,1.23015,0.63657,1.07892,0.92122,0.87689,0.93448,0.60267,1.26273,0.58397,1.1041,0.000473919,0.000473919,0.000473919
28,6109.62,1.21104,0.62583,1.07297,0.91915,0.88355,0.93435,0.60328,1.26557,0.58327,1.10804,0.00044296,0.00044296,0.00044296
29,6386.03,1.21511,0.63116,1.07385,0.92535,0.87294,0.93346,0.60125,1.27301,0.57775,1.10948,0.000412246,0.000412246,0.000412246
30,6670.55,1.21291,0.62355,1.07381,0.9209,0.88499,0.9347,0.60037,1.26392,0.57405,1.09987,0.000381899,0.000381899,0.000381899
31,6923.6,1.20063,0.61199,1.0729,0.92119,0.88268,0.93686,0.60712,1.24506,0.56991,1.10103,0.000352037,0.000352037,0.000352037
32,7171.85,1.19087,0.60238,1.06563,0.92902,0.8789,0.94126,0.60834,1.25601,0.55927,1.10137,0.000322778,0.000322778,0.000322778
33,7424.63,1.19823,0.60084,1.0688,0.93079,0.87661,0.93632,0.6037,1.25623,0.5658,1.0978,0.000294239,0.000294239,0.000294239
34,7687.59,1.18121,0.5928,1.06237,0.93978,0.87755,0.93859,0.6074,1.25346,0.55715,1.10169,0.000266532,0.000266532,0.000266532
35,7945.76,1.1831,0.58916,1.06137,0.91832,0.89117,0.94362,0.60863,1.25086,0.55077,1.09748,0.000239766,0.000239766,0.000239766
36,8191.3,1.17473,0.58134,1.05862,0.93781,0.86749,0.93793,0.61208,1.24024,0.54841,1.09452,0.000214046,0.000214046,0.000214046
37,8432.74,1.17386,0.57589,1.0568,0.93523,0.87422,0.94129,0.61785,1.23425,0.54415,1.09173,0.000189475,0.000189475,0.000189475
38,8677.05,1.16942,0.5764,1.04854,0.91441,0.89631,0.9457,0.61652,1.23717,0.54175,1.09398,0.000166149,0.000166149,0.000166149
39,8915.51,1.15674,0.57073,1.04811,0.93745,0.87814,0.94401,0.61538,1.24096,0.53906,1.09294,0.000144161,0.000144161,0.000144161
40,9152.44,1.15235,0.56395,1.04783,0.92497,0.88683,0.94314,0.61526,1.23509,0.53634,1.09298,0.000123596,0.000123596,0.000123596
41,9378.31,1.15024,0.50943,1.06444,0.93753,0.87651,0.94077,0.61203,1.23895,0.538,1.09341,0.000104537,0.000104537,0.000104537
42,9601.23,1.13843,0.49729,1.05929,0.92999,0.88315,0.9416,0.61391,1.23626,0.5385,1.09346,8.70577e-05,8.70577e-05,8.70577e-05
43,9824.44,1.12988,0.49419,1.05443,0.93301,0.88484,0.94118,0.61389,1.23983,0.53527,1.09321,7.12282e-05,7.12282e-05,7.12282e-05
44,10047.8,1.13021,0.48652,1.05396,0.93182,0.88356,0.94404,0.61366,1.24055,0.53293,1.09398,5.71106e-05,5.71106e-05,5.71106e-05
45,10272.5,1.12378,0.48939,1.05082,0.93273,0.88559,0.94361,0.61489,1.23533,0.53313,1.09358,4.47606e-05,4.47606e-05,4.47606e-05
46,10505.5,1.12006,0.48378,1.04805,0.93033,0.88708,0.94442,0.61659,1.23503,0.52967,1.09239,3.4227e-05,3.4227e-05,3.4227e-05
47,10725.6,1.11962,0.48257,1.05162,0.93029,0.88768,0.94297,0.6177,1.23194,0.5297,1.09116,2.55513e-05,2.55513e-05,2.55513e-05
