epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3385,1.604,1.50649,1.10808,0.70762,0.58371,0.65163,0.34926,1.43366,1.37711,1.09147,0.000332117,0.000332117,0.0671204
2,90.1909,1.54214,1.11737,1.06951,0.7613,0.59728,0.66145,0.34865,1.48219,1.0999,1.10525,0.0006648,0.0006648,0.0341198
3,133.764,1.5199,1.04904,1.0619,0.78187,0.66744,0.74477,0.4142,1.3548,0.97215,1.03734,0.000994885,0.000994885,0.00111654
4,177.698,1.48911,1.00108,1.0523,0.72277,0.65036,0.69124,0.38498,1.39333,1.11934,1.0736,0.000991232,0.000991232,0.000991232
5,221.49,1.48784,0.97249,1.04291,0.83251,0.71875,0.79088,0.44301,1.34733,0.88143,1.03782,0.000984449,0.000984449,0.000984449
6,264.769,1.46161,0.94778,1.04206,0.83322,0.7145,0.79546,0.45279,1.32283,0.88218,1.03939,0.000975773,0.000975773,0.000975773
7,308.314,1.45991,0.92026,1.03124,0.8146,0.70039,0.77538,0.44559,1.32323,0.87892,1.0346,0.000965239,0.000965239,0.000965239
8,351.769,1.42111,0.88652,1.02216,0.8384,0.75116,0.81874,0.46737,1.31169,0.81422,1.02856,0.000952889,0.000952889,0.000952889
9,395.24,1.43564,0.88115,1.03107,0.84025,0.74261,0.81814,0.46168,1.29505,0.82536,1.02227,0.000938772,0.000938772,0.000938772
10,438.519,1.42621,0.8721,1.02108,0.83407,0.74112,0.81586,0.46164,1.29292,0.78828,1.01979,0.000922942,0.000922942,0.000922942
11,481.676,1.40933,0.85726,1.01883,0.8451,0.73643,0.81378,0.46676,1.30312,0.79786,1.0264,0.000905463,0.000905463,0.000905463
12,525.092,1.41937,0.8536,1.01433,0.86984,0.77309,0.84688,0.48597,1.27951,0.77818,1.01148,0.000886404,0.000886404,0.000886404
13,568.322,1.41394,0.84282,1.01303,0.86165,0.74597,0.82602,0.47738,1.29176,0.78283,1.02298,0.000865839,0.000865839,0.000865839
14,611.508,1.40154,0.82372,1.01236,0.8611,0.77058,0.8419,0.48457,1.27929,0.75125,1.01208,0.000843851,0.000843851,0.000843851
15,654.768,1.38909,0.81569,1.007,0.84966,0.76589,0.83973,0.48451,1.26915,0.77877,1.01121,0.000820525,0.000820525,0.000820525
16,698.014,1.37885,0.80457,1.00191,0.85527,0.77422,0.84692,0.4934,1.24998,0.73049,1.00268,0.000795954,0.000795954,0.000795954
